Env,roll,pitch,yaw
0.0,0.15907812,0.0066267108,-0.45732304
0.0,0.15897459,0.00645602,-0.4563428
0.0,0.15887672,0.006283945,-0.4553529
0.0,0.1587845,0.006111758,-0.45435497
0.0,0.15869787,0.0059406552,-0.45335075
0.0,0.15861681,0.0057718595,-0.45234182
0.0,0.15854125,0.005606528,-0.45132986
0.0,0.15847115,0.005445805,-0.45031652
0.0,0.15840651,0.0052907555,-0.44930354
0.0,0.15834722,0.0051424215,-0.44829232
0.0,0.15829326,0.0050017913,-0.4472846
0.0,0.15824464,0.0048697824,-0.44628197
0.0,0.15820128,0.0047472515,-0.44528577
0.0,0.15816316,0.0046350057,-0.44429764
0.0,0.15813027,0.004533725,-0.4433189
0.0,0.15810251,0.0044441065,-0.44235092
0.0,0.15807994,0.0043666856,-0.4413951
0.0,0.15806252,0.0043019773,-0.4404527
0.0,0.15805018,0.0042504147,-0.43952486
0.0,0.15804286,0.004212304,-0.43861267
