Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,0.0,0.0,6.0796466,0.14911792,-0.26936358,-0.71416754,0.62862694,5.8277116,32.381897,-5.3049564,-0.0048588645,0.039124303,0.3679589
0.0,0.0,0.0,6.026597,0.14945826,-0.26898316,-0.7130324,0.6299961,5.7573996,32.394432,-5.2540054,-0.003780275,0.052639868,0.3886895
0.0,0.0,0.0,5.974057,0.14978115,-0.26853985,-0.7118409,0.6314543,5.6838045,32.40762,-5.2019706,-0.0016755203,0.06540699,0.40846848
0.0,0.0,0.0,5.9220376,0.15009119,-0.26803282,-0.71059644,0.63299584,5.6068096,32.42137,-5.1487427,0.0014539333,0.07742776,0.4272604
0.0,0.0,0.0,5.87055,0.15039295,-0.26746136,-0.7093026,0.6346151,5.526308,32.435596,-5.0942087,0.0056021498,0.08870789,0.44503397
0.0,0.0,0.0,5.819608,0.15069087,-0.2668247,-0.7079628,0.63630617,5.4421997,32.450184,-5.038251,0.010757022,0.099256195,0.4617607
0.0,0.0,0.0,5.7692256,0.15098937,-0.2661222,-0.7065809,0.6380633,5.354395,32.46502,-4.9807496,0.016900368,0.10908404,0.47741485
0.0,0.0,0.0,5.719418,0.15129271,-0.26535323,-0.7051605,0.6398805,5.262814,32.479977,-4.921582,0.024007158,0.11820495,0.4919729
0.0,0.0,0.0,5.6702023,0.151605,-0.26451737,-0.7037055,0.64175165,5.167391,32.494926,-4.860629,0.032045633,0.12663366,0.5054133
0.0,0.0,0.0,5.621596,0.15193018,-0.26361424,-0.70221967,0.6436709,5.0680737,32.509727,-4.7977753,0.040974863,0.13438444,0.51771516
0.0,0.0,0.0,5.573618,0.15227205,-0.26264364,-0.7007071,0.6456323,4.964817,32.524254,-4.7328963,0.050700568,0.14147152,0.52882755
0.0,0.0,0.0,5.526289,0.15263395,-0.2616057,-0.69917154,0.64762986,4.857593,32.53838,-4.665877,0.061104402,0.14788145,0.53869236
0.0,0.0,0.0,5.47963,0.15301888,-0.26050112,-0.69761723,0.6496573,4.7464004,32.551975,-4.5966234,0.07207574,0.1536083,0.5472613
0.0,0.0,0.0,5.433664,0.15342939,-0.259331,-0.6960482,0.6517085,4.6312666,32.564907,-4.525069,0.08351278,0.15865804,0.5544967
0.0,0.0,0.0,5.388413,0.15386769,-0.25809687,-0.6944684,0.6537771,4.5122538,32.57705,-4.451181,0.09532413,0.16304532,0.5603726
0.0,0.0,0.0,5.343901,0.15433562,-0.25680065,-0.692882,0.6558571,4.389447,32.58828,-4.374945,0.10742002,0.16678758,0.5648694
0.0,0.0,0.0,5.300152,0.15483466,-0.2554445,-0.6912931,0.6579423,4.262963,32.598476,-4.296379,0.11971468,0.16990185,0.5679757
0.0,0.0,0.0,5.257188,0.15536596,-0.2540309,-0.68970597,0.66002685,4.132939,32.607533,-4.215522,0.13212733,0.17241387,0.5696881
0.0,0.0,0.0,5.2150326,0.15593028,-0.25256255,-0.6881245,0.66210467,3.999537,32.615345,-4.132434,0.14458124,0.17435594,0.57001066
0.0,0.0,0.0,5.1737084,0.15652812,-0.25104234,-0.68655276,0.6641702,3.8629434,32.62183,-4.0472026,0.1570063,0.17576519,0.56895703
0.0,0.0,0.0,5.1332364,0.15715957,-0.2494732,-0.6849947,0.66621786,3.7233584,32.626907,-3.9599261,0.16933246,0.17668174,0.56654555
0.0,0.0,0.0,5.093637,0.15782443,-0.24785833,-0.6834543,0.66824245,3.5810022,32.630512,-3.8707254,0.18149413,0.1771476,0.5628023
0.0,0.0,0.0,5.0549297,0.15852219,-0.24620093,-0.68193525,0.6702388,3.4361072,32.6326,-3.779732,0.1934261,0.17720589,0.55775803
0.0,0.0,0.0,5.0171323,0.15925205,-0.24450435,-0.6804415,0.6722023,3.2889178,32.633133,-3.6870914,0.20506498,0.17689964,0.55144894
0.0,0.0,0.0,4.9802613,0.16001283,-0.24277185,-0.6789764,0.6741282,3.1396904,32.632095,-3.5929632,0.21635173,0.17627037,0.5439179
0.0,0.0,0.0,4.9443316,0.16080315,-0.24100693,-0.6775436,0.6760124,2.9886897,32.629482,-3.497517,0.22723043,0.17535783,0.5352133
0.0,0.0,0.0,4.9093566,0.16162136,-0.239213,-0.67614627,0.6778511,2.8361857,32.6253,-3.4009304,0.23764808,0.17419976,0.52538836
0.0,0.0,0.0,4.875347,0.16246553,-0.2373935,-0.67478746,0.6796404,2.6824546,32.619576,-3.30339,0.24755605,0.17283198,0.5145016
