rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/ent_coef,time/episodes,train/critic_loss
140.59,-4.6018900871276855,50358,0.0003,9.531024610000001,41,1206,-0.9363350868225098,50459,0.00303214555606246,356,0.027463529258966446
140.15,-4.869235515594482,50914,0.0003,9.51895118,41,1221,-1.510657548904419,51015,0.0030557243153452873,360,0.01968963071703911
140.49,-4.621099948883057,51541,0.0003,9.44880841,41,1236,1.421457290649414,51642,0.0031002669129520655,364,0.10047660768032074
140.14,-4.613665580749512,52050,0.0003,9.433963950000003,41,1249,-0.8867613673210144,52151,0.0030263259541243315,368,0.02875499427318573
139.64,-4.68477725982666,52581,0.0003,9.22866329,41,1264,-1.3312575817108154,52682,0.0030286340042948723,372,0.020772146061062813
140.02,-4.491837978363037,53197,0.0003,9.03829043,41,1279,-0.533008873462677,53298,0.0030661968048661947,376,0.09559319913387299
136.67,-4.500733852386475,53450,0.0003,8.63310886,41,1287,-3.119480609893799,53551,0.0030469230841845274,380,0.021833796054124832
136.1,-4.65447998046875,53956,0.0003,8.59872235,41,1300,0.9020366072654724,54057,0.002986638341099024,384,0.0335870236158371
135.59,-4.3829240798950195,54499,0.0003,8.464827719999999,41,1313,2.0865581035614014,54600,0.002958800410851836,388,0.04691634327173233
136.0,-4.405410289764404,55099,0.0003,8.66023239,41,1328,-0.5892444849014282,55200,0.0030496877152472734,392,0.02840900421142578
136.15,-4.383249282836914,55688,0.0003,8.973248260000002,41,1342,0.6197433471679688,55789,0.0031190584413707256,396,0.15544702112674713
135.85,-4.393505573272705,56239,0.0003,9.04861554,41,1356,-1.317144751548767,56340,0.0031323847360908985,400,0.12556812167167664
137.33,-4.325911998748779,56828,0.0003,9.373101170000002,41,1370,0.5732302069664001,56929,0.0030628140084445477,404,0.030483780428767204
137.32,-4.497551918029785,57399,0.0003,9.664976939999999,41,1384,-0.6518133282661438,57500,0.0029345110524445772,408,0.0223541297018528
138.99,-4.351814270019531,57998,0.0003,9.942861630000001,41,1398,0.03760479390621185,58099,0.0029255705885589123,412,0.09728208184242249
138.36,-4.564231872558594,58552,0.0003,9.77782998,41,1412,-0.22997170686721802,58653,0.002930872142314911,416,0.08675271272659302
