time/time_elapsed,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,time/total_timesteps
2318,0.023914920166134834,83286,0.0003,1.2883172035217285,-24.37822151184082,652,56.51894899999999,35,101.87,2.537057399749756,83387
2329,0.024238446727395058,83683,0.0003,0.6436525583267212,-23.635417938232422,656,56.927202120000004,35,101.84,0.9066373705863953,83784
2340,0.02480761893093586,84064,0.0003,-0.1288733184337616,-22.819650650024414,660,57.17247095,35,101.65,12.399763107299805,84165
2352,0.025435203686356544,84471,0.0003,-1.4306864738464355,-24.24973487854004,664,57.33613929,35,101.72,3.623109817504883,84572
2363,0.025211362168192863,84871,0.0003,-1.290731430053711,-25.445030212402344,668,57.524635360000005,35,101.72,3.956167221069336,84972
2374,0.02499742992222309,85274,0.0003,-0.12292492389678955,-24.536996841430664,672,57.609654709999994,35,101.75,0.40393078327178955,85375
2387,0.024603739380836487,85678,0.0003,0.8198511004447937,-23.887149810791016,676,57.863396470000005,35,101.79,1.8855030536651611,85779
2399,0.02523740939795971,86091,0.0003,1.09388267993927,-25.465660095214844,680,58.30602776999999,35,101.92,0.3965136408805847,86192
2410,0.025199973955750465,86474,0.0003,-1.5814118385314941,-25.73712730407715,684,58.673167410000005,35,101.75,2.738133192062378,86575
2422,0.025120917707681656,86885,0.0003,-0.6607131361961365,-25.15836524963379,688,59.03414052,35,101.86,2.948090076446533,86986
2433,0.025435566902160645,87280,0.0003,1.5447280406951904,-24.224836349487305,692,59.372278939999994,35,101.81,0.3402704894542694,87381
2445,0.025060296058654785,87674,0.0003,-0.5610817074775696,-23.722640991210938,696,59.65577221999999,35,101.75,0.3190845251083374,87775
2457,0.025465555489063263,88079,0.0003,0.5421936511993408,-24.347219467163086,700,59.9602555,35,101.8,1.2340883016586304,88180
2468,0.02596430853009224,88469,0.0003,-0.8722324371337891,-24.022727966308594,704,60.23330163,35,101.7,2.6512069702148438,88570
2480,0.02562139928340912,88883,0.0003,-0.4512540400028229,-25.11572265625,708,60.37538674,35,101.84,0.9677631258964539,88984
2492,0.02554931305348873,89278,0.0003,0.5578668713569641,-25.010141372680664,712,60.62444539000001,35,101.79,3.275252342224121,89379
2504,0.025488683953881264,89674,0.0003,2.051835298538208,-24.710649490356445,716,60.72046359000001,35,101.75,0.29490727186203003,89775
2516,0.024974413216114044,90079,0.0003,-1.5193125009536743,-24.024341583251953,720,59.99880925,35,100.01,0.9374874830245972,90180
