train/n_updates,train/critic_loss,train/ent_coef,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,time/episodes,train/actor_loss
35676,0.02861594408750534,0.0036114349495619535,35,997,35777,71.81,13.513283209999999,0.0003,-1.1391972303390503,492,-7.490563869476318
35978,0.0183853916823864,0.0034271006006747484,35,1005,36079,72.51,13.67684613,0.0003,-0.6757494211196899,496,-7.422173023223877
36278,0.021948624402284622,0.003396721323952079,35,1013,36379,72.45,13.723670219999999,0.0003,1.415549635887146,500,-7.664782524108887
36524,0.021882254630327225,0.0034367376938462257,35,1020,36625,71.88,13.618678069999998,0.0003,0.9461995363235474,504,-7.203707695007324
36827,0.0220453180372715,0.0034350387286394835,35,1029,36928,71.87,13.679607040000002,0.0003,-0.9779584407806396,508,-7.808978080749512
37131,0.03684964403510094,0.0034076750744134188,35,1038,37232,72.56,13.898181039999999,0.0003,0.3204894959926605,512,-7.579733371734619
37435,0.017930395901203156,0.0033938928972929716,35,1046,37536,72.59,14.012863809999999,0.0003,-1.0946526527404785,516,-7.530683517456055
37675,0.020926622673869133,0.0034755414817482233,35,1054,37776,72.01,14.00257863,0.0003,-0.4160006046295166,520,-7.751557350158691
37979,0.013843242079019547,0.0034767468459904194,35,1062,38080,72.01,14.0588539,0.0003,0.7091922760009766,524,-7.761007785797119
38283,0.026323748752474785,0.003442690009251237,35,1071,38384,72.05,14.129832669999999,0.0003,-0.30512088537216187,528,-7.54400110244751
38587,0.017463255673646927,0.0034871352836489677,35,1079,38688,72.63,14.31676103,0.0003,1.177086353302002,532,-7.7374677658081055
38891,0.48537567257881165,0.0035344234202057123,35,1088,38992,72.67,14.368816550000002,0.0003,1.0925953388214111,536,-7.886711120605469
39127,0.018944021314382553,0.00353369046933949,35,1095,39228,72.05,14.250307950000002,0.0003,-0.15530623495578766,540,-7.777830600738525
39431,0.01956309750676155,0.0035875996109098196,35,1103,39532,72.09,14.25259941,0.0003,0.8942017555236816,544,-7.376302242279053
39735,0.018201470375061035,0.003667883574962616,35,1111,39836,72.61,14.4709989,0.0003,-0.4680541455745697,548,-7.556942939758301
40039,0.013923617079854012,0.003808497916907072,35,1120,40140,72.66,14.535319460000004,0.0003,-0.531559944152832,552,-7.833569526672363
40275,0.023427655920386314,0.0038014526944607496,35,1127,40376,72.03,14.443656280000003,0.0003,-2.3804116249084473,556,-7.573206901550293
40579,0.011057679541409016,0.0036903847940266132,35,1135,40680,72.07,14.474253049999998,0.0003,1.5908479690551758,560,-7.7706098556518555
40883,0.01574416644871235,0.0036764845717698336,35,1144,40984,72.11,14.466595750000002,0.0003,1.0832171440124512,564,-7.756332874298096
41189,0.015840671956539154,0.0035869767889380455,35,1152,41290,72.65,14.64869661,0.0003,-0.47109824419021606,568,-8.010353088378906
41494,0.013975763693451881,0.0034966743551194668,35,1160,41595,72.7,14.667609419999998,0.0003,-0.8650161623954773,572,-7.825852394104004
41728,0.013775883242487907,0.0034507382661104202,35,1167,41829,72.04,14.548876309999999,0.0003,1.1302433013916016,576,-8.132336616516113
42034,0.014294780790805817,0.00352293998003006,35,1176,42135,72.08,14.57119174,0.0003,-0.8780867457389832,580,-8.020978927612305
42339,0.014989235438406467,0.003441403154283762,35,1185,42440,72.65,14.775681089999999,0.0003,0.11177472770214081,584,-7.757044792175293
42646,0.012899087741971016,0.0033723439555615187,35,1193,42747,72.72,14.841277800000002,0.0003,-1.211358904838562,588,-7.834791660308838
42951,0.010615693405270576,0.0034310282208025455,35,1201,43052,72.75,14.868713429999998,0.0003,-0.44385868310928345,592,-7.937636375427246
43255,0.20254287123680115,0.003505965694785118,35,1210,43356,72.77,14.861863710000002,0.0003,0.6949896812438965,596,-7.904850482940674
43560,0.021915877237915993,0.003478929167613387,35,1218,43661,72.82,14.838550350000002,0.0003,0.7834514379501343,600,-7.683896541595459
43865,0.01318223588168621,0.003534630872309208,35,1226,43966,73.41,15.00006662,0.0003,-0.2506355047225952,604,-7.693779945373535
44099,0.015212769620120525,0.0036224229261279106,35,1233,44200,72.72,14.840985049999999,0.0003,0.6772248148918152,608,-7.77276086807251
44404,0.2775372862815857,0.0035700651351362467,35,1241,44505,72.73,14.837951510000003,0.0003,0.2483820617198944,612,-7.907691955566406
44708,0.017819631844758987,0.003449901007115841,35,1250,44809,72.73,14.81229191,0.0003,0.9456448554992676,616,-7.841011047363281
45013,0.013643168844282627,0.0033573482651263475,35,1258,45114,73.38,14.961522739999998,0.0003,-2.771543502807617,620,-8.039163589477539
45321,0.014486340805888176,0.003353401320055127,35,1266,45422,73.42,14.98795155,0.0003,0.4240635633468628,624,-7.93110990524292
45551,0.013799555599689484,0.003289697924628854,35,1273,45652,72.68,14.832826440000002,0.0003,-1.9647350311279297,628,-7.939085960388184
45857,0.013305025175213814,0.003196222009137273,35,1282,45958,72.7,14.843362900000002,0.0003,0.5440230369567871,632,-8.119997024536133
46162,0.014449375681579113,0.0032476638443768024,35,1290,46263,72.71,14.846219080000003,0.0003,1.3640327453613281,636,-7.653356552124023
46467,0.23296219110488892,0.003236195305362344,35,1298,46568,73.4,15.010633640000002,0.0003,0.4878998100757599,640,-8.146876335144043
46699,0.01940193772315979,0.003248085267841816,35,1306,46800,72.68,14.882634229999999,0.0003,-0.8273293972015381,644,-8.178873062133789
47003,0.018344173207879066,0.0031794512178748846,35,1314,47104,72.68,14.877926019999997,0.0003,-1.6258026361465454,648,-8.06240463256836
47308,0.41772711277008057,0.003252995666116476,35,1322,47409,72.69,14.907580890000002,0.0003,3.7286534309387207,652,-7.68373441696167
47613,0.012470841407775879,0.0034929916728287935,35,1331,47714,73.38,15.090112240000002,0.0003,1.1261005401611328,656,-7.997137546539307
47917,0.01275641843676567,0.00363518251106143,35,1339,48018,73.38,15.14025453,0.0003,-0.8388063907623291,660,-7.940237998962402
48151,0.01027669571340084,0.0036538555286824703,35,1346,48252,72.68,15.039917999999998,0.0003,-1.1767364740371704,664,-7.861971855163574
48456,0.01867527887225151,0.003657790133729577,35,1354,48557,72.67,15.093338030000002,0.0003,-1.1299362182617188,668,-7.947192668914795
48760,0.01042298786342144,0.0035732262767851353,35,1363,48861,72.66,15.15939631,0.0003,-0.9081916809082031,672,-8.202753067016602
49064,0.012831378728151321,0.0035303893964737654,35,1371,49165,73.36,15.360944779999997,0.0003,0.4940599799156189,676,-7.976057052612305
49299,0.01236436702311039,0.0034377030096948147,35,1378,49400,72.65,15.252987209999999,0.0003,0.3875468671321869,680,-8.071480751037598
49604,0.01276366412639618,0.0034173717722296715,35,1386,49705,72.65,15.287964140000001,0.0003,-0.6227256655693054,684,-7.965477466583252
49910,0.01280380878597498,0.003495330922305584,35,1394,50011,72.64,15.3419344,0.0003,1.1403841972351074,688,-8.00551700592041
50214,0.46111857891082764,0.003461164655163884,35,1403,50315,72.63,15.389817249999998,0.0003,0.8358993530273438,692,-8.035663604736328
50518,0.014476655051112175,0.0033665630035102367,35,1411,50619,72.63,15.45431409,0.0003,-0.7979925870895386,696,-7.936731338500977
50752,0.017693184316158295,0.0032510077580809593,35,1418,50853,71.92,15.359140949999999,0.0003,1.0347697734832764,700,-8.065241813659668
51057,0.011659343726933002,0.0033035879023373127,35,1426,51158,71.92,15.40983273,0.0003,-0.4129020571708679,704,-8.208593368530273
51362,0.012282349169254303,0.003379423636943102,35,1435,51463,72.63,15.627482189999998,0.0003,-0.7489885091781616,708,-8.132282257080078
51666,0.010669112205505371,0.003479146398603916,35,1443,51767,72.62,15.657570879999998,0.0003,-1.480979561805725,712,-8.134788513183594
51899,0.010520657524466515,0.003450108226388693,35,1450,52000,71.91,15.54297752,0.0003,1.4086532592773438,716,-8.119946479797363
52207,0.01890750788152218,0.003475223435088992,35,1459,52308,71.94,15.595316549999998,0.0003,-0.6220747232437134,720,-7.996728897094727
52512,0.008977696299552917,0.003436315106227994,35,1467,52613,71.91,15.591759020000001,0.0003,1.0172536373138428,724,-7.791769027709961
52819,0.015664514154195786,0.0033714838791638613,35,1475,52920,72.68,15.784237749999999,0.0003,-1.949202060699463,728,-8.155956268310547
53126,0.013670440763235092,0.0033118794672191143,35,1484,53227,72.69,15.84598848,0.0003,-1.0037823915481567,732,-8.207518577575684
53429,0.014521032571792603,0.0032279437873512506,35,1493,53530,72.67,15.87404555,0.0003,0.25438541173934937,736,-8.007941246032715
53736,0.01184447668492794,0.0033716510515660048,35,1501,53837,72.69,15.931537269999996,0.0003,-1.4097316265106201,740,-8.525537490844727
54039,0.013317890465259552,0.003339026588946581,35,1509,54140,73.4,16.12026156,0.0003,0.1502959132194519,744,-8.196976661682129
54343,0.2240399718284607,0.003410711884498596,35,1518,54444,73.4,16.15488226,0.0003,1.032006025314331,748,-8.454148292541504
54575,0.32939574122428894,0.0033994968980550766,35,1525,54676,72.67,15.990370419999998,0.0003,-1.1650797128677368,752,-8.393985748291016
54880,0.009731799364089966,0.0033986056223511696,35,1533,54981,72.67,16.01030412,0.0003,-1.7592613697052002,756,-8.123468399047852
55184,0.23615923523902893,0.0032417059410363436,35,1542,55285,72.67,16.031492999999998,0.0003,-1.273519515991211,760,-7.727746963500977
55492,0.011618107557296753,0.00322056096047163,35,1550,55593,73.41,16.24342853,0.0003,-1.122733235359192,764,-8.492103576660156
55797,0.010221165604889393,0.0032196948304772377,35,1558,55898,73.41,16.26044716,0.0003,0.12819159030914307,768,-8.467927932739258
56026,0.2871584892272949,0.003206847468391061,35,1565,56127,72.66,16.10734167,0.0003,0.15447622537612915,772,-8.293333053588867
56330,0.4653555750846863,0.0031628874130547047,35,1573,56431,72.66,16.1290674,0.0003,-0.6857689023017883,776,-8.101638793945312
56630,0.26186031103134155,0.0031329866033047438,35,1581,56731,73.31,16.26981744,0.0003,1.553875207901001,780,-8.344375610351562
56932,0.012850431725382805,0.003244503168389201,35,1590,57033,73.28,16.26915686,0.0003,0.5804064273834229,784,-8.614376068115234
57174,0.013625210151076317,0.0033145667985081673,35,1597,57275,72.64,16.0614053,0.0003,-0.11670435220003128,788,-8.352290153503418
57476,0.014444399625062943,0.0033157067373394966,35,1605,57577,72.62,16.03599673,0.0003,-1.004626989364624,792,-8.859100341796875
57781,0.03782916069030762,0.0033370493911206722,35,1613,57882,72.63,16.0475396,0.0003,-0.1773895025253296,796,-8.69873046875
58086,0.015574976801872253,0.003289100481197238,35,1622,58187,73.34,16.239179349999997,0.0003,0.681330680847168,800,-8.330495834350586
58389,0.267935186624527,0.003253620583564043,35,1630,58490,73.32,16.23703724,0.0003,0.8602557182312012,804,-8.559027671813965
58628,0.013261811807751656,0.003171509364619851,35,1637,58729,72.66,16.067664790000002,0.0003,0.9752483367919922,808,-8.674203872680664
58933,0.01980862021446228,0.0032341142650693655,35,1646,59034,72.67,16.08383576,0.0003,-1.072866678237915,812,-8.315950393676758
59240,0.3962591886520386,0.0032697084825485945,35,1654,59341,73.41,16.31099355,0.0003,-1.7748208045959473,816,-8.619544982910156
59545,0.014941150322556496,0.003234237665310502,35,1662,59646,73.38,16.34089613,0.0003,-0.15564638376235962,820,-8.29910945892334
59775,0.012716447003185749,0.0032187248580157757,35,1670,59876,72.63,16.17888869,0.0003,-1.3337552547454834,824,-8.586889266967773
60081,0.012653469108045101,0.003243848914280534,35,1678,60182,72.62,16.201353880000003,0.0003,-2.5141758918762207,828,-8.767300605773926
60388,0.008743000216782093,0.003138999454677105,35,1686,60489,72.62,16.191444110000003,0.0003,0.17534279823303223,832,-8.727388381958008
60696,0.009544946253299713,0.003166246460750699,35,1695,60797,72.67,16.23506228,0.0003,2.136244297027588,836,-8.426656723022461
60999,0.40166255831718445,0.0032481674570590258,35,1703,61100,72.63,16.219508169999997,0.0003,1.4815025329589844,840,-8.596899032592773
61306,0.011386019177734852,0.0031044697389006615,35,1711,61407,72.67,16.265480800000002,0.0003,-0.8129896521568298,844,-8.45969295501709
61613,0.01560308039188385,0.003097121138125658,35,1720,61714,72.7,16.27074934,0.0003,-1.9756407737731934,848,-8.431793212890625
61919,0.019465463235974312,0.003125069895759225,35,1728,62020,73.44,16.43881508,0.0003,2.1572160720825195,852,-8.494306564331055
62226,0.016318626701831818,0.0032026723492890596,35,1736,62327,73.46,16.45370551,0.0003,-2.40541672706604,856,-8.924602508544922
62530,0.011474747210741043,0.003175776917487383,35,1745,62631,73.46,16.435168349999998,0.0003,1.38045072555542,860,-8.733034133911133
62838,0.0141750518232584,0.003173509379848838,35,1753,62939,73.46,16.41645433,0.0003,-0.20151452720165253,864,-8.88987922668457
